"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.07.2022","31,57","31,39","31,75","31,39","0,04K","0,67%"
"21.07.2022","31,36","31,51","31,51","31,21","0,05K","-2,03%"
"20.07.2022","32,01","32,27","32,27","31,93","0,15K","-1,71%"
"19.07.2022","32,57","32,73","37,10","31,44","0,21K","-1,37%"
"18.07.2022","33,02","32,90","33,33","32,90","0,08K","2,01%"
"15.07.2022","32,37","32,40","37,10","31,44","0,04K","-0,23%"
"14.07.2022","32,45","32,46","37,10","31,44","0,38K","-0,87%"
"13.07.2022","32,73","32,30","33,01","31,89","0,17K","1,12%"
"12.07.2022","32,37","33,05","37,10","31,44","0,20K","-3,53%"
"11.07.2022","33,55","33,68","37,10","31,44","0,40K","0,52%"
"08.07.2022","33,38","32,73","33,38","32,73","0,11K","2,33%"
"07.07.2022","32,62","31,93","33,00","31,93","0,12K","2,26%"
"06.07.2022","31,90","32,03","32,30","31,44","0,27K","0,35%"
"05.07.2022","31,79","33,81","33,81","31,60","0,31K","-6,47%"
"01.07.2022","33,99","34,31","37,10","33,10","0,50K","-1,20%"
"30.06.2022","34,40","34,63","37,10","33,10","0,36K","-0,66%"
"29.06.2022","34,63","34,53","34,69","34,32","0,14K","1,11%"
"28.06.2022","34,25","36,35","36,74","34,25","0,17K","-4,91%"
"27.06.2022","36,02","35,76","39,31","27,50","0,23K","1,58%"
"24.06.2022","35,46","35,28","39,31","27,50","0,35K","0,95%"
"23.06.2022","35,12","35,75","39,31","27,50","0,73K","-3,60%"
"22.06.2022","36,44","36,75","39,31","27,50","1,01K","-1,68%"
"21.06.2022","37,06","37,20","39,31","27,50","0,47K","-1,23%"
"17.06.2022","37,52","37,89","39,31","27,50","0,10K","0,41%"
"15.06.2022","37,37","37,46","39,31","27,50","0,42K","-0,20%"
"14.06.2022","37,44","37,82","39,31","27,50","0,62K","-0,53%"
"13.06.2022","37,64","38,12","39,31","27,50","0,92K","-2,17%"
"10.06.2022","38,48","38,97","39,22","38,44","0,56K","-1,33%"
"09.06.2022","39,00","38,30","39,31","27,50","1,17K","1,67%"
"08.06.2022","38,36","38,60","38,75","27,50","0,53K","0,50%"
"07.06.2022","38,17","37,40","38,18","37,38","0,38K","1,89%"
"06.06.2022","37,46","37,75","38,69","27,50","0,18K","-0,02%"
"03.06.2022","37,47","37,90","37,94","37,38","0,46K","-1,81%"
"02.06.2022","38,16","37,58","38,36","37,43","0,76K","2,28%"
"01.06.2022","37,31","37,21","37,61","36,95","0,31K","0,54%"
"31.05.2022","37,11","38,30","38,69","27,50","0,72K","-2,83%"
"30.05.2022","38,19","38,15","38,69","27,50","0,32K","0,08%"
"27.05.2022","38,16","38,15","38,69","27,50","0,32K","0,26%"
"26.05.2022","38,06","36,93","38,26","27,50","0,97K","2,84%"
"25.05.2022","37,01","36,92","37,10","36,71","0,31K","-0,86%"
"24.05.2022","37,33","37,20","37,38","36,93","0,19K","0,32%"
"23.05.2022","37,21","37,72","37,73","37,14","0,44K","-1,27%"
"20.05.2022","37,69","37,30","37,70","37,00","0,25K","1,13%"
"19.05.2022","37,27","36,79","38,15","27,50","0,42K","1,77%"
"18.05.2022","36,62","37,07","37,14","36,55","0,14K","-1,08%"
"17.05.2022","37,02","36,50","37,10","36,48","0,49K","1,42%"
"16.05.2022","36,50","36,97","36,97","36,37","0,28K","0,47%"
"13.05.2022","36,33","35,83","36,39","35,72","0,55K","2,12%"
"12.05.2022","35,58","35,10","38,15","27,50","0,58K","0,50%"
"11.05.2022","35,40","35,32","35,55","35,11","0,30K","0,80%"
"10.05.2022","35,12","35,27","35,36","34,96","0,26K","0,49%"
"09.05.2022","34,95","35,42","38,15","27,50","0,31K","-2,27%"
"06.05.2022","35,76","36,02","38,15","27,50","0,23K","-1,52%"
